PostSect,Structured_PostSect,PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
RG7 3,RG 7 3,RG7,RG 7,RG,297,15.347254992533,5.9256082803183,465562.5,165995.498,-1.057662,51.388714,POINT (-1.05916962534095 51.389232960279)
RG7 4,RG 7 4,RG7,RG 7,RG,220,45.826307542723,17.693636260275,460555.501,166584,-1.129518,51.394562,POINT (-1.13101818434001 51.3950792979132)
RG7 5,RG 7 5,RG7,RG 7,RG,228,30.113900677258,11.627042053622,459730.5,169792.501,-1.140836,51.423499,POINT (-1.14233539213063 51.424012914361)
RG8 0,RG 8 0,RG8,RG 8,RG,208,25.066639323595,9.678283550245,463817,182274.003,-1.079808,51.535279,POINT (-1.08131866088376 51.5357813213951)
RG8 7,RG 8 7,RG8,RG 8,RG,234,18.734453647458,7.2334129923969,463737.001,178681.502,-1.081611,51.502987,POINT (-1.08312046973046 51.503492754364)
RG8 8,RG 8 8,RG8,RG 8,RG,199,32.593235716238,12.584318663922,461423.001,174970.499,-1.115595,51.469876,POINT (-1.11709922105803 51.470385044666)
RG8 9,RG 8 9,RG8,RG 8,RG,207,36.454002889487,14.074969203143,458340.498,179607.502,-1.159207,51.511896,POINT (-1.16070772480574 51.5123996498441)
RG9 1,RG 9 1,RG9,RG 9,RG,286,3.1153653404211,1.2028492825849,475798.998,181944.003,-0.907139,51.53083,POINT (-0.908669168441882 51.5313355612338)
RG9 2,RG 9 2,RG9,RG 9,RG,119,1.4983286215665,0.57850791499277,475799.996,183091,-0.906877,51.541143,POINT (-0.908408208114575 51.541646670992)
RG9 3,RG 9 3,RG9,RG 9,RG,134,16.415839974045,6.3381912482661,477519.5,182282.001,-0.882263,51.533636,POINT (-0.883796714896819 51.5341408268459)
RG9 4,RG 9 4,RG9,RG 9,RG,178,30.60652988311,11.817247253363,473912.001,181514.501,-0.93443,51.527219,POINT (-0.93595744619215 51.5277241776836)
SL6 3,SL 6 3,SL6,SL 6,SL,268,27.108892564104,10.466801934696,486254,177421.498,-0.757542,51.488671,POINT (-0.759087953910496 51.4891831041001)
SL6 5,SL 6 5,SL6,SL 6,SL,144,7.0372570535692,2.7171001386011,482334.456,183213.5,-0.812635,51.541329,POINT (-0.81417682597639 51.5418338586161)
SL6 6,SL 6 6,SL6,SL 6,SL,227,16.896990288697,6.5239644233366,485169.498,182509.002,-0.771931,51.534574,POINT (-0.773476810801325 51.5350807915017)
